Grandezza,Valore,Giorno,Mese,Anno
TEMPARIA2M_MING,"14,8",29,7,2017
TEMPARIA2M_MING,"13,9",30,7,2017
TEMPARIA2M_MING,"16,6",31,7,2017
TEMPARIA2M_MING,"17,3",1,8,2017
TEMPARIA2M_MING,"17,2",2,8,2017
TEMPARIA2M_MING,"20,5",3,8,2017
TEMPARIA2M_MING,"18,7",4,8,2017
TEMPARIA2M_MING,"17,4",5,8,2017
TEMPARIA2M_MING,"16,3",6,8,2017
TEMPARIA2M_MING,"18,9",7,8,2017
TEMPARIA2M_MING,"16,6",8,8,2017
TEMPARIA2M_MING,"21,1",9,8,2017
TEMPARIA2M_MING,"18,9",10,8,2017
TEMPARIA2M_MING,"16,5",11,8,2017
TEMPARIA2M_MING,13,12,8,2017
TEMPARIA2M_MING,"12,2",13,8,2017
TEMPARIA2M_MING,"13,7",14,8,2017
TEMPARIA2M_MING,"15,9",15,8,2017
TEMPARIA2M_MING,15,16,8,2017
TEMPARIA2M_MING,"16,5",17,8,2017
TEMPARIA2M_MING,"16,2",18,8,2017
TEMPARIA2M_MING,"14,8",19,8,2017
TEMPARIA2M_MING,"16,7",20,8,2017
TEMPARIA2M_MING,"13,6",21,8,2017
TEMPARIA2M_MING,"13,6",22,8,2017
TEMPARIA2M_MING,"13,9",23,8,2017
TEMPARIA2M_MING,"13,8",24,8,2017
TEMPARIA2M_MING,"12,2",25,8,2017
TEMPARIA2M_MING,"15,4",26,8,2017
TEMPARIA2M_MING,"15,6",27,8,2017
TEMPARIA2M_MING,"17,6",28,8,2017
TEMPARIA2M_MING,"17,9",29,8,2017
TEMPARIA2M_MING,"16,7",30,8,2017
TEMPARIA2M_MING,"15,9",31,8,2017
TEMPARIA2M_MING,"18,4",1,9,2017
TEMPARIA2M_MING,"13,6",2,9,2017
TEMPARIA2M_MING,"10,7",3,9,2017
TEMPARIA2M_MING,"9,8",4,9,2017
TEMPARIA2M_MING,"12,1",5,9,2017
TEMPARIA2M_MING,"12,7",6,9,2017
TEMPARIA2M_MING,"12,7",7,9,2017
TEMPARIA2M_MING,"10,8",8,9,2017
TEMPARIA2M_MING,"10,9",9,9,2017
TEMPARIA2M_MING,"14,6",10,9,2017
TEMPARIA2M_MING,"12,3",11,9,2017
TEMPARIA2M_MING,"12,4",12,9,2017
TEMPARIA2M_MING,"10,3",13,9,2017
TEMPARIA2M_MING,"11,6",14,9,2017
TEMPARIA2M_MING,"17,9",15,9,2017
TEMPARIA2M_MING,15,16,9,2017
TEMPARIA2M_MING,"9,4",17,9,2017
TEMPARIA2M_MING,"8,6",18,9,2017
TEMPARIA2M_MING,"9,5",19,9,2017
TEMPARIA2M_MING,"5,7",20,9,2017
TEMPARIA2M_MING,"4,7",21,9,2017
TEMPARIA2M_MING,"8,2",22,9,2017
TEMPARIA2M_MING,"8,7",23,9,2017
TEMPARIA2M_MING,"8,7",24,9,2017
TEMPARIA2M_MING,"8,5",25,9,2017
TEMPARIA2M_MING,"8,1",26,9,2017
TEMPARIA2M_MING,"10,1",27,9,2017
TEMPARIA2M_MING,"9,8",28,9,2017
TEMPARIA2M_MING,"8,9",29,9,2017
TEMPARIA2M_MING,"9,7",30,9,2017
TEMPARIA2M_MING,"9,4",1,10,2017
TEMPARIA2M_MING,"10,3",2,10,2017
TEMPARIA2M_MING,"9,6",3,10,2017
TEMPARIA2M_MING,"10,7",4,10,2017
TEMPARIA2M_MING,"9,7",5,10,2017
TEMPARIA2M_MING,"10,6",6,10,2017
TEMPARIA2M_MING,"4,5",7,10,2017
TEMPARIA2M_MING,"4,4",8,10,2017
TEMPARIA2M_MING,"11,4",9,10,2017
TEMPARIA2M_MING,"9,4",10,10,2017
TEMPARIA2M_MING,9,11,10,2017
TEMPARIA2M_MING,"7,4",12,10,2017
TEMPARIA2M_MING,9,13,10,2017
TEMPARIA2M_MING,"7,8",14,10,2017
TEMPARIA2M_MING,"7,6",15,10,2017
TEMPARIA2M_MING,"7,4",16,10,2017
TEMPARIA2M_MING,"6,1",17,10,2017
TEMPARIA2M_MING,"5,9",18,10,2017
TEMPARIA2M_MING,"6,6",19,10,2017
TEMPARIA2M_MING,"7,8",20,10,2017
TEMPARIA2M_MING,"7,4",21,10,2017
TEMPARIA2M_MING,"11,4",22,10,2017
TEMPARIA2M_MING,"4,2",23,10,2017
TEMPARIA2M_MING,"3,4",24,10,2017
TEMPARIA2M_MING,"6,5",25,10,2017
TEMPARIA2M_MING,"5,1",26,10,2017
TEMPARIA2M_MING,"4,5",27,10,2017
TEMPARIA2M_MING,"4,1",28,10,2017
TEMPARIA2M_MING,"3,9",29,10,2017
TEMPARIA2M_MING,"5,7",30,10,2017
TEMPARIA2M_MING,"5,4",31,10,2017
TEMPARIA2M_MING,"3,1",1,11,2017
TEMPARIA2M_MING,"3,1",2,11,2017
TEMPARIA2M_MING,10,3,11,2017
TEMPARIA2M_MING,"7,6",4,11,2017
TEMPARIA2M_MING,11,5,11,2017
TEMPARIA2M_MING,"4,3",6,11,2017
TEMPARIA2M_MING,3,7,11,2017
TEMPARIA2M_MING,"2,5",8,11,2017
TEMPARIA2M_MING,"7,6",9,11,2017
TEMPARIA2M_MING,"6,7",10,11,2017
TEMPARIA2M_MING,4,11,11,2017
TEMPARIA2M_MING,3,12,11,2017
TEMPARIA2M_MING,2,13,11,2017
TEMPARIA2M_MING,1,14,11,2017
TEMPARIA2M_MING,"3,8",15,11,2017
TEMPARIA2M_MING,"3,8",16,11,2017
TEMPARIA2M_MING,"3,3",17,11,2017
TEMPARIA2M_MING,"0,5",18,11,2017
